Bank Transaction ID,Transaction Date,Posted Date,Description,Amount (USD),Currency,Bank Account
BF-202606-0147,2026-06-09,2026-06-09,CHECK DEP METRO SELF STORAGE SERVICE 6216,3500.0,USD,Operating Checking
BF-202606-0160,2026-06-09,2026-06-10,SUPPLYHOUSE.COM REF 603,-2675.0,USD,Operating Checking
BF-202606-0183,2026-06-09,2026-06-09,HISCOX BUSINESS INSURANCE JUN,-1225.0,USD,Operating Checking
BF-202606-0135,2026-06-10,2026-06-10,CHECK DEP HUDSON VETERINARY CLINIC SERVICE 6204,1675.0,USD,Operating Checking
BF-202606-0191,2026-06-10,2026-06-10,ONLINE TRANSFER TO TAX RESERVE TAX RESERVE TRANSFER JUN-1,-7000.0,USD,Operating Checking
BF-202606-0148,2026-06-11,2026-06-12,ZELLE FROM PARKVIEW SENIOR LIVING REPAIR 6217,2525.0,USD,Operating Checking
BF-202606-0181,2026-06-11,2026-06-12,GOOGLE ADS 5412,-2050.0,USD,Operating Checking
BF-202606-0136,2026-06-12,2026-06-13,ZELLE FROM EASTSIDE COMMUNITY CENTER REPAIR 6205,1475.0,USD,Operating Checking
BF-202606-0151,2026-06-12,2026-06-13,CHECK DEPOSIT EASTSIDE COMMUNITY CENTER PROJECT 6502,8950.0,USD,Operating Checking
BF-202606-0161,2026-06-12,2026-06-13,CES #NYC-14 REF 604,-2675.0,USD,Operating Checking
BF-202606-0167,2026-06-12,2026-06-13,PRECISION INSTALL SVCS JUN-02,-2400.0,USD,Operating Checking
BF-202606-0175,2026-06-12,2026-06-13,BP#98231 NEW YORK,-285.0,USD,Operating Checking
BF-202606-0184,2026-06-12,2026-06-13,CON EDISON AUTOPAY,-870.0,USD,Operating Checking
BF-202606-0137,2026-06-14,2026-06-14,ACH CREDIT BEACON OFFICE SUITES INV 6106,3200.0,USD,Operating Checking
BF-202606-0156,2026-06-14,2026-06-14,AUTO PAY NORTHSTAR DENTAL GROUP SERVICE PLAN JUN,1250.0,USD,Operating Checking
BF-202606-0162,2026-06-15,2026-06-16,ABC PLUMBING SUPPLY REF 605,-2675.0,USD,Operating Checking
BF-202606-0171,2026-06-15,2026-06-15,ADP PAYROLL JUN FIRST HALF,-13550.0,USD,Operating Checking
BF-202606-0179,2026-06-15,2026-06-15,GOOGLE WORKSPACE BRIGHTFIX,-420.0,USD,Operating Checking
BF-202606-0138,2026-06-16,2026-06-17,MOBILE DEPOSIT LIBERTY DAY SCHOOL JOB 6207,1925.0,USD,Operating Checking
BF-202606-0152,2026-06-16,2026-06-16,WIRE BEACON OFFICE SUITES EQUIPMENT INSTALL 6503,8100.0,USD,Operating Checking
BF-202606-0168,2026-06-17,2026-06-18,ACH METRO HANDYMAN JUN-03,-1850.0,USD,Operating Checking
BF-202606-0139,2026-06-18,2026-06-18,CHECK DEP WEST END PHARMACY SERVICE 6208,1450.0,USD,Operating Checking
BF-202606-0163,2026-06-18,2026-06-19,HOMEDEPOT.COM 800-430-3376 REF 606,-1450.0,USD,Operating Checking
BF-202606-0176,2026-06-18,2026-06-19,EXXONMOBIL 48122,-340.0,USD,Operating Checking
BF-202606-0186,2026-06-18,2026-06-19,ACH CLEARLEDGER CPA MONTHLY JUN,-1650.0,USD,Operating Checking
BF-202606-0140,2026-06-20,2026-06-21,ZELLE FROM BLUEBIRD PROPERTY MANAGEMENT REPAIR 6209,3225.0,USD,Operating Checking
BF-202606-0153,2026-06-20,2026-06-21,ACH CREDIT LIBERTY DAY SCHOOL INSTALL 6504,7250.0,USD,Operating Checking
BF-202606-0188,2026-06-20,2026-06-21,STAPLES 001422 OFFICE SUPPLIES,-310.0,USD,Operating Checking
BF-202606-0164,2026-06-21,2026-06-22,LOWE'S HOME IMPROVEMENT REF 607,-2200.0,USD,Operating Checking
BF-202606-0182,2026-06-21,2026-06-22,YELP ADVERTISING,-1050.0,USD,Operating Checking
BF-202606-0141,2026-06-22,2026-06-22,ACH CREDIT NORTHSTAR DENTAL GROUP INV 6110,2850.0,USD,Operating Checking
BF-202606-0169,2026-06-22,2026-06-23,APEX ELEC LLC INV JUN-04,-1850.0,USD,Operating Checking
BF-202606-0180,2026-06-22,2026-06-22,SERVICETITAN SUBSCRIPTION,-875.0,USD,Operating Checking
BF-202606-0185,2026-06-22,2026-06-23,VERIZON BUSINESS AUTOPAY,-390.0,USD,Operating Checking
BF-202606-0157,2026-06-23,2026-06-23,ACH CREDIT HARBORVIEW APARTMENTS MAINT PLAN JUN,1500.0,USD,Operating Checking
BF-202606-0189,2026-06-23,2026-06-24,FLEET AUTO CARE SERVICE VAN 2,-915.0,USD,Operating Checking
BF-202606-0142,2026-06-24,2026-06-25,MOBILE DEPOSIT HARBORVIEW APARTMENTS JOB 6211,2550.0,USD,Operating Checking
BF-202606-0154,2026-06-24,2026-06-24,CHECK DEPOSIT WEST END PHARMACY PROJECT 6505,7250.0,USD,Operating Checking
BF-202606-0165,2026-06-24,2026-06-25,FERGUSON ENT #204 REF 608,-2675.0,USD,Operating Checking
BF-202606-0177,2026-06-24,2026-06-25,SPEEDWAY 07119,-395.0,USD,Operating Checking
BF-202606-0193,2026-06-25,2026-06-25,ONLINE TRANSFER TO TAX RESERVE TAX RESERVE TRANSFER JUN-2,-9000.0,USD,Operating Checking
BF-202606-0143,2026-06-26,2026-06-26,CHECK DEP GREENLINE FITNESS SERVICE 6212,1925.0,USD,Operating Checking
BF-202606-0190,2026-06-26,2026-06-26,ACH REFUND TO BEACON OFFICE SUITES JOB 6802,-2100.0,USD,Operating Checking
BF-202606-0170,2026-06-27,2026-06-28,ACH RIVERA PLUMBING JUN-05,-2950.0,USD,Operating Checking
BF-202606-0195,2026-06-27,2026-06-27,OWNER DISTRIBUTION MAYA PATEL,-5000.0,USD,Operating Checking
BF-202606-0187,2026-06-28,2026-06-28,MONTHLY SERVICE FEE,-35.0,USD,Operating Checking
BF-202606-0172,2026-06-29,2026-06-29,ADP PAYROLL JUN SECOND HALF,-14150.0,USD,Operating Checking
