Bank Transaction ID,Transaction Date,Posted Date,Description,Amount (USD),Currency,Bank Account
BF-202605-0077,2026-05-24,2026-05-25,ACH CREDIT WEST END PHARMACY INV 5111,2300.0,USD,Operating Checking
BF-202605-0089,2026-05-24,2026-05-24,ACH CREDIT EASTSIDE COMMUNITY CENTER INSTALL 5505,11600.0,USD,Operating Checking
BF-202605-0100,2026-05-24,2026-05-25,LOWE'S HOME IMPROVEMENT REF 508,-2675.0,USD,Operating Checking
BF-202605-0112,2026-05-24,2026-05-25,SPEEDWAY 07119,-455.0,USD,Operating Checking
BF-202605-0128,2026-05-25,2026-05-25,ONLINE TRANSFER TO TAX RESERVE TAX RESERVE TRANSFER MAY-2,-8000.0,USD,Operating Checking
BF-202605-0078,2026-05-26,2026-05-26,MOBILE DEPOSIT BLUEBIRD PROPERTY MANAGEMENT JOB 5212,2850.0,USD,Operating Checking
BF-202605-0125,2026-05-26,2026-05-26,ACH REFUND TO METRO SELF STORAGE JOB 5801,-1675.0,USD,Operating Checking
BF-202605-0105,2026-05-27,2026-05-28,APEX ELEC LLC INV MAY-05,-3600.0,USD,Operating Checking
BF-202605-0122,2026-05-28,2026-05-28,MONTHLY SERVICE FEE,-35.0,USD,Operating Checking
BF-202605-0107,2026-05-29,2026-05-29,ADP PAYROLL MAY SECOND HALF,-13650.0,USD,Operating Checking
