Bank Transaction ID,Transaction Date,Posted Date,Description,Amount (USD),Currency,Bank Account
BF-202604-0045,2026-04-12,2026-04-13,BP#98231 NEW YORK,-520.0,USD,Operating Checking
BF-202604-0054,2026-04-12,2026-04-13,CON EDISON AUTOPAY,-780.0,USD,Operating Checking
BF-202604-0007,2026-04-14,2026-04-14,CHECK DEP SUMMIT LEARNING CENTER SERVICE 4206,2300.0,USD,Operating Checking
BF-202604-0026,2026-04-14,2026-04-14,AUTO PAY PARKVIEW SENIOR LIVING SERVICE PLAN APR,1250.0,USD,Operating Checking
BF-202604-0032,2026-04-15,2026-04-16,SUPPLYHOUSE.COM REF 405,-1125.0,USD,Operating Checking
BF-202604-0041,2026-04-15,2026-04-15,ADP PAYROLL APR FIRST HALF,-12650.0,USD,Operating Checking
BF-202604-0049,2026-04-15,2026-04-15,GOOGLE WORKSPACE BRIGHTFIX,-420.0,USD,Operating Checking
BF-202604-0008,2026-04-16,2026-04-17,ZELLE FROM METRO SELF STORAGE REPAIR 4207,1950.0,USD,Operating Checking
BF-202604-0022,2026-04-16,2026-04-16,ACH CREDIT SUMMIT LEARNING CENTER INSTALL 4503,6500.0,USD,Operating Checking
BF-202604-0038,2026-04-17,2026-04-18,ACH NORTHLINE HVAC APR-03,-1850.0,USD,Operating Checking
BF-202604-0009,2026-04-18,2026-04-18,ACH CREDIT PARKVIEW SENIOR LIVING INV 4108,3200.0,USD,Operating Checking
BF-202604-0033,2026-04-18,2026-04-19,CES #NYC-14 REF 406,-875.0,USD,Operating Checking
BF-202604-0046,2026-04-18,2026-04-19,EXXONMOBIL 48122,-395.0,USD,Operating Checking
BF-202604-0056,2026-04-18,2026-04-19,ACH CLEARLEDGER CPA MONTHLY APR,-1650.0,USD,Operating Checking
BF-202604-0010,2026-04-20,2026-04-21,MOBILE DEPOSIT CEDAR GROVE MARKET JOB 4209,1975.0,USD,Operating Checking
BF-202604-0023,2026-04-20,2026-04-21,CHECK DEPOSIT METRO SELF STORAGE PROJECT 4504,9750.0,USD,Operating Checking
BF-202604-0058,2026-04-20,2026-04-21,STAPLES 001422 OFFICE SUPPLIES,-310.0,USD,Operating Checking
BF-202604-0034,2026-04-21,2026-04-22,ABC PLUMBING SUPPLY REF 407,-2675.0,USD,Operating Checking
BF-202604-0052,2026-04-21,2026-04-22,YELP ADVERTISING,-950.0,USD,Operating Checking
BF-202604-0011,2026-04-22,2026-04-22,CHECK DEP HUDSON VETERINARY CLINIC SERVICE 4210,1925.0,USD,Operating Checking
BF-202604-0039,2026-04-22,2026-04-23,PRECISION INSTALL SVCS APR-04,-2400.0,USD,Operating Checking
BF-202604-0050,2026-04-22,2026-04-22,SERVICETITAN SUBSCRIPTION,-875.0,USD,Operating Checking
BF-202604-0055,2026-04-22,2026-04-23,VERIZON BUSINESS AUTOPAY,-390.0,USD,Operating Checking
BF-202604-0027,2026-04-23,2026-04-23,ACH CREDIT CEDAR GROVE MARKET MAINT PLAN APR,1500.0,USD,Operating Checking
BF-202604-0059,2026-04-23,2026-04-24,FLEET AUTO CARE SERVICE VAN 2,-740.0,USD,Operating Checking
BF-202604-0012,2026-04-24,2026-04-25,ZELLE FROM EASTSIDE COMMUNITY CENTER REPAIR 4211,1500.0,USD,Operating Checking
BF-202604-0024,2026-04-24,2026-04-24,WIRE PARKVIEW SENIOR LIVING EQUIPMENT INSTALL 4505,7250.0,USD,Operating Checking
BF-202604-0035,2026-04-24,2026-04-25,HOMEDEPOT.COM 800-430-3376 REF 408,-1450.0,USD,Operating Checking
BF-202604-0047,2026-04-24,2026-04-25,SPEEDWAY 07119,-285.0,USD,Operating Checking
BF-202604-0063,2026-04-25,2026-04-25,ONLINE TRANSFER TO TAX RESERVE TAX RESERVE TRANSFER APR-2,-7000.0,USD,Operating Checking
BF-202604-0013,2026-04-26,2026-04-26,ACH CREDIT BEACON OFFICE SUITES INV 4112,2550.0,USD,Operating Checking
BF-202604-0060,2026-04-26,2026-04-26,ACH REFUND TO HARBORVIEW APARTMENTS JOB 4800,-1250.0,USD,Operating Checking
BF-202604-0040,2026-04-27,2026-04-28,ACH METRO HANDYMAN APR-05,-5100.0,USD,Operating Checking
BF-202604-0057,2026-04-28,2026-04-28,MONTHLY SERVICE FEE,-35.0,USD,Operating Checking
BF-202604-0042,2026-04-29,2026-04-29,ADP PAYROLL APR SECOND HALF,-13150.0,USD,Operating Checking
